state,year,persons_avg,persons_max,n_months,state_fips,burden_index,no_online_app,recert_burden,no_bbce,no_simplereport,certnonearnavg,bbce,oapp_mean
Alabama,2014,902623,903079,3,1,0.16259587577014964,0,0.6503835030805986,0,0,12.036493333333334,1,1
Alabama,2015,883694.1666666666,894443,12,1,0.16313583433694429,0,0.6525433373477771,0,0,11.997031666666667,1,1
Alabama,2016,837111.5833333334,869982,12,1,0.16409673116559206,0,0.6563869246623683,0,0,11.926806666666666,1,1
Alabama,2017,794744.6666666666,815094,12,1,0.16435926455330757,0,0.6574370582132303,0,0,11.90762,1,1
Alabama,2018,755955.4166666666,771467,12,1,0.16595457906027863,0,0.6638183162411145,0,0,11.79103,1,1
Alabama,2019,659968.9166666666,734098,12,1,0.12411573774363155,0,0.6619506012993682,0,0,11.825154444444443,1,1
Alaska,2014,74847.33333333333,77908,3,2,0.7304092429832434,1,0.9216369719329733,1,0,7.08050475,0,0
Alaska,2015,81389.5,86215,12,2,0.730228473055828,1,0.9209138922233123,1,0,7.093715916666667,0,0
Alaska,2016,83385.5,86251,12,2,0.7299670001096109,1,0.9198680004384436,1,0,7.112825083333333,0,0
Alaska,2017,93798.5,101439,12,2,0.7232692698503155,1,0.8930770794012619,1,0,7.60231375,0,0
Alaska,2018,87295.25,95057,12,2,0.7097052048347886,1,0.8388208193391544,1,0,8.593613166666668,0,0
Alaska,2019,78546.08333333333,87526,12,2,0.7165798418217183,1,0.9328702674936086,1,0,6.875264666666666,0,0
Arizona,2010,1034267.1666666666,1055205,12,4,0.21648689241400015,0,0.8659475696560006,0,0,8.097988666666668,1,1
Arizona,2011,1088957.4166666667,1138220,12,4,0.2077030297119197,0,0.8308121188476788,0,0,8.739937666666666,1,1
Arizona,2012,1122238.9166666667,1137786,12,4,0.2036050641468132,0,0.8144202565872528,0,0,9.039428333333333,1,1
Arizona,2013,1096706.3333333333,1114638,12,4,0.19516175710075276,0,0.780647028403011,0,0,9.656488583333333,1,1
Arizona,2014,1034361.1666666666,1072103,12,4,0.19497336453740596,0,0.7798934581496239,0,0,9.670256833333333,1,1
Arizona,2015,987061.4166666666,1007623,12,4,0.20139367417866094,0,0.8055746967146438,0,0,9.201042833333334,1,1
Arizona,2016,952900.25,965233,12,4,0.20274325474371743,0,0.8109730189748697,0,0,9.10241175,1,1
Arizona,2017,900287.75,932091,12,4,0.20162066225150824,0,0.806482649006033,0,0,9.184453916666667,1,1
Arizona,2018,831409.75,855050,12,4,0.20170450440519713,0,0.8068180176207885,0,0,9.1783265,1,1
Arizona,2019,727317.9166666666,815689,12,4,0.15306668347135766,0,0.8163556451805742,0,0,9.004067444444445,1,1
Arkansas,2014,482710.3333333333,486130,3,5,0.3451114996994458,0,0.38044599879778324,1,0,16.96843833333333,0,1
Arkansas,2015,461715.8333333333,476089,12,5,0.34656543340923635,0,0.38626173363694527,1,0,16.862180833333333,0,1
Arkansas,2016,412663.8333333333,443941,12,5,0.3444298752705517,0,0.37771950108220687,1,0,17.018253333333334,0,1
Arkansas,2017,384349.4166666667,393349,12,5,0.3235816524263741,0,0.29432660970549634,1,0,18.541899166666667,0,1
