state,date,persons
Alaska,2021-04-01,83637
Alaska,2021-05-01,85479
Alaska,2021-06-01,87053
Alaska,2021-07-01,88538
Alaska,2021-08-01,89795
Alaska,2021-09-01,90854
Alaska,2021-10-01,91362
Alaska,2021-11-01,92692
Alaska,2021-12-01,93209
Alaska,2022-01-01,94429
Alaska,2022-02-01,95170
Alaska,2022-03-01,96026
Alaska,2022-04-01,96660
Alaska,2022-05-01,97256
Alaska,2022-06-01,97901
Alaska,2022-07-01,97915
Alaska,2022-08-01,82986
Alaska,2022-09-01,69824
Alaska,2022-10-01,59382
Alaska,2022-11-01,47650
Alaska,2022-12-01,38161
Alaska,2023-01-01,32531
Alaska,2023-02-01,43582
Alaska,2023-03-01,52952
Alaska,2023-04-01,59602
Alaska,2023-05-01,64768
Alaska,2023-06-01,66122
Alaska,2023-07-01,66539
Alaska,2023-08-01,64960
Alaska,2023-09-01,59557
Arizona,2009-10-01,972162
Arizona,2009-11-01,986276
Arizona,2009-12-01,1004476
Arizona,2010-01-01,1005810
Arizona,2010-02-01,1006005
Arizona,2010-03-01,1017100
Arizona,2010-04-01,1020648
Arizona,2010-05-01,1031075
Arizona,2010-06-01,1037367
Arizona,2010-07-01,1044940
Arizona,2010-08-01,1047779
Arizona,2010-09-01,1044410
Arizona,2010-10-01,1055205
Arizona,2010-11-01,1050181
Arizona,2010-12-01,1050686
Arizona,2011-01-01,1039326
Arizona,2011-02-01,1030139
Arizona,2011-03-01,1034624
Arizona,2011-04-01,1047088
Arizona,2011-05-01,1063434
Arizona,2011-06-01,1083451
Arizona,2011-07-01,1102573
Arizona,2011-08-01,1123333
Arizona,2011-09-01,1131358
Arizona,2011-10-01,1138220
Arizona,2011-11-01,1136565
Arizona,2011-12-01,1137378
Arizona,2012-01-01,1131693
Arizona,2012-02-01,1118039
Arizona,2012-03-01,1118247
Arizona,2012-04-01,1112064
Arizona,2012-05-01,1110833
Arizona,2012-06-01,1116483
Arizona,2012-07-01,1119607
Arizona,2012-08-01,1127702
Arizona,2012-09-01,1120861
Arizona,2012-10-01,1137786
Arizona,2012-11-01,1128883
Arizona,2012-12-01,1124669
Arizona,2013-01-01,1108674
Arizona,2013-02-01,1101324
Arizona,2013-03-01,1114638
Arizona,2013-04-01,1099471
Arizona,2013-05-01,1102305
Arizona,2013-06-01,1106860
Arizona,2013-07-01,1109093
Arizona,2013-08-01,1100429
Arizona,2013-09-01,1099131
Arizona,2013-10-01,1093804
Arizona,2013-11-01,1072133
Arizona,2013-12-01,1052614
Arizona,2014-01-01,1072103
Arizona,2014-02-01,1035650
Arizona,2014-03-01,1018000
Arizona,2014-04-01,1016742
Arizona,2014-05-01,1024764
Arizona,2014-06-01,1031316
Arizona,2014-07-01,1034470
Arizona,2014-08-01,1040026
Arizona,2014-09-01,1040099
Arizona,2014-10-01,1040557
Arizona,2014-11-01,1033350
Arizona,2014-12-01,1025257
Arizona,2015-01-01,1007623
Arizona,2015-02-01,992386
Arizona,2015-03-01,983861
Arizona,2015-04-01,974806
Arizona,2015-05-01,978128
Arizona,2015-06-01,983839
Arizona,2015-07-01,984598
Arizona,2015-08-01,992876
Arizona,2015-09-01,995531
Arizona,2015-10-01,991567
Arizona,2015-11-01,983641
Arizona,2015-12-01,975881
Arizona,2016-01-01,965233
Arizona,2016-02-01,952360
Arizona,2016-03-01,946247
Arizona,2016-04-01,935640
Arizona,2016-05-01,937614
Arizona,2016-06-01,948201
Arizona,2016-07-01,954847
Arizona,2016-08-01,965046
Arizona,2016-09-01,964979
Arizona,2016-10-01,963303
Arizona,2016-11-01,955392
Arizona,2016-12-01,945941
Arizona,2017-01-01,932091
Arizona,2017-02-01,913814
Arizona,2017-03-01,912635
Arizona,2017-04-01,901350
Arizona,2017-05-01,900977
Arizona,2017-06-01,900388
Arizona,2017-07-01,898138
Arizona,2017-08-01,902151
Arizona,2017-09-01,898552
Arizona,2017-10-01,892481
Arizona,2017-11-01,879897
Arizona,2017-12-01,870979
Arizona,2018-01-01,855050
Arizona,2018-02-01,830877
Arizona,2018-03-01,833146
Arizona,2018-04-01,821241
Arizona,2018-05-01,822835
Arizona,2018-06-01,831993
Arizona,2018-07-01,833390
Arizona,2018-08-01,838416
Arizona,2018-09-01,838485
Arizona,2018-10-01,834518
Arizona,2018-11-01,823176
Arizona,2018-12-01,813790
Arizona,2019-01-01,815689
Arizona,2019-02-01,62271
Arizona,2019-03-01,779723
Arizona,2019-04-01,769805
Arizona,2019-05-01,773157
Arizona,2019-06-01,783815
Arizona,2019-07-01,790722
Arizona,2019-08-01,797795
Arizona,2019-09-01,798130
Arizona,2019-10-01,795313
Arizona,2019-11-01,784993
Arizona,2019-12-01,776402
Arizona,2020-01-01,782194
Arizona,2020-02-01,782903
Arizona,2020-03-01,790961
Arizona,2020-04-01,843738
Arizona,2020-05-01,879292
Arizona,2020-06-01,890285
Arizona,2020-07-01,898875
Arizona,2020-08-01,915512
Arizona,2020-09-01,860912
Arizona,2020-10-01,842358
Arizona,2020-11-01,816014
Arizona,2020-12-01,842716
Arizona,2021-01-01,884716
Arizona,2021-02-01,907158
Arizona,2021-03-01,920868
Arizona,2021-04-01,933819
Arizona,2021-05-01,954765
Arizona,2021-06-01,917398
Arizona,2021-07-01,875323
Arizona,2021-08-01,851592
Arizona,2021-09-01,802750
Arizona,2021-10-01,786744
Arizona,2021-11-01,770978
Arizona,2021-12-01,781094
Arizona,2022-01-01,781330
Arizona,2022-02-01,799080
Arizona,2022-03-01,816207
Arizona,2022-04-01,831414
Arizona,2022-05-01,840737
Arizona,2022-06-01,839147
Arizona,2022-07-01,865244
Arizona,2022-08-01,884668
Arizona,2022-09-01,911352
Arizona,2022-10-01,875535
Arizona,2022-11-01,875379
Arizona,2022-12-01,883932
Arizona,2023-01-01,878185
Arizona,2023-02-01,870934
Arizona,2023-03-01,884594
Arizona,2023-04-01,887565
Arizona,2023-05-01,900643
Arizona,2023-06-01,915684
Arizona,2023-07-01,925681
Arizona,2023-08-01,936481
Arizona,2023-09-01,941580
Arkansas,2014-10-01,486130
Arkansas,2014-11-01,481749
Arkansas,2014-12-01,480252
Arkansas,2015-01-01,476089
Arkansas,2015-02-01,475704
Arkansas,2015-03-01,466445
Arkansas,2015-04-01,461999
Arkansas,2015-05-01,459893
Arkansas,2015-06-01,461080
Arkansas,2015-07-01,461166
Arkansas,2015-08-01,458309
Arkansas,2015-09-01,458032
Arkansas,2015-10-01,457380
Arkansas,2015-11-01,453286
Arkansas,2015-12-01,451207
Arkansas,2016-01-01,443941
Arkansas,2016-02-01,441898
Arkansas,2016-03-01,434865
Arkansas,2016-04-01,418002
Arkansas,2016-05-01,407820
Arkansas,2016-06-01,401790
Arkansas,2016-07-01,401890
Arkansas,2016-08-01,401205
Arkansas,2016-09-01,399538
Arkansas,2016-10-01,403376
Arkansas,2016-11-01,399839
Arkansas,2016-12-01,397802
Arkansas,2017-01-01,393349
Arkansas,2017-02-01,389577
Arkansas,2017-03-01,385208
Arkansas,2017-04-01,378446
Arkansas,2017-05-01,380420
Arkansas,2017-06-01,382515
Arkansas,2017-07-01,377768
Arkansas,2017-08-01,386551
Arkansas,2017-09-01,385494
Arkansas,2017-10-01,386421
Arkansas,2017-11-01,383740
Arkansas,2017-12-01,382704
Arkansas,2018-01-01,378791
Arkansas,2018-02-01,377717
Arkansas,2018-03-01,373710
Arkansas,2018-04-01,372292
Arkansas,2018-05-01,363143
Arkansas,2018-06-01,362454
Arkansas,2018-07-01,363548
Arkansas,2018-08-01,362440
Arkansas,2018-09-01,362454
Arkansas,2018-10-01,363186
Arkansas,2018-11-01,365559
Arkansas,2018-12-01,363631
Arkansas,2019-01-01,360533
Arkansas,2019-02-01,363301
Arkansas,2019-03-01,358305
Arkansas,2019-04-01,347080
Arkansas,2019-05-01,344512
Arkansas,2019-06-01,345284
Arkansas,2019-07-01,346819
Arkansas,2019-08-01,349592
Arkansas,2019-09-01,351199
Arkansas,2019-10-01,350447
Arkansas,2019-11-01,348052
Arkansas,2019-12-01,348050
Arkansas,2020-01-01,343435
Arkansas,2020-02-01,339463
Arkansas,2020-03-01,337151
Arkansas,2020-04-01,381027
Arkansas,2020-05-01,387379
Arkansas,2020-06-01,405518
Arkansas,2020-07-01,424460
Arkansas,2020-08-01,398219
Arkansas,2020-09-01,391984
Arkansas,2020-10-01,377077
Arkansas,2020-11-01,359966
Arkansas,2020-12-01,351931
Arkansas,2021-01-01,347714
Arkansas,2021-02-01,348755
Arkansas,2021-03-01,351316
Arkansas,2021-04-01,342068
Arkansas,2021-05-01,333362
Arkansas,2021-06-01,332663
Arkansas,2021-07-01,352201
Arkansas,2021-08-01,333818
Arkansas,2021-09-01,323246
Arkansas,2021-10-01,324286
Arkansas,2021-11-01,319455
Arkansas,2021-12-01,314293
Arkansas,2022-01-01,309537
Arkansas,2022-02-01,304315
Arkansas,2022-03-01,306489
Arkansas,2022-04-01,302313
Arkansas,2022-05-01,289324
Arkansas,2022-06-01,190976
Arkansas,2022-07-01,235309
Arkansas,2022-08-01,238828
Arkansas,2022-09-01,229553
Arkansas,2022-10-01,233193
Arkansas,2022-11-01,265149
Arkansas,2022-12-01,264025
Arkansas,2023-01-01,227575
Arkansas,2023-02-01,255317
Arkansas,2023-03-01,247698
Arkansas,2023-04-01,241012
Arkansas,2023-05-01,276432
Arkansas,2023-06-01,268981
Arkansas,2023-07-01,237206
Arkansas,2023-08-01,238614
Arkansas,2023-09-01,241303
California,2009-10-01,3011359
California,2009-11-01,3041650
California,2009-12-01,3112043
California,2010-01-01,3145373
California,2010-02-01,3185154
California,2010-03-01,3232550
California,2010-04-01,3254744
California,2010-05-01,3285959
California,2010-06-01,3323895
California,2010-07-01,3376982
California,2010-08-01,3425892
California,2010-09-01,3466974
California,2010-10-01,3499878
California,2010-11-01,3521881
California,2010-12-01,3570066
