spec,coef,std_error,stars,p_value,n_obs,r2_within
M1 Pooled OLS,-2.4438975209156553,0.830897084773304,***,0.004941181887047502,466,NA
M2 State FE,0.32439299903812024,0.13508012390613008,**,0.020087481327144857,466,0.04165942226191788
M3 Year FE,-2.696670883622335,0.8585570597093797,***,0.00282743966647341,466,0.1462700281665814
M4 Two-way FE,-0.04626652899689915,0.10383260027824161,,0.657818537357945,466,0.0019026265028815326
