spec,variable,coef,std_error,stars,p_value,n_obs,r2_within
M5 Components (two-way FE),no_online_app,0.012234361731199557,0.02749055084364505,,0.6582124710244671,466,0.06516523103166849
M5 Components (two-way FE),recert_burden,0.14577752389185353,0.10557079053511709,,0.17346610392306266,466,0.06516523103166849
M5 Components (two-way FE),no_bbce,-6.88774725445985e-4,0.06378635229781432,,0.9914274592074332,466,0.06516523103166849
M5 Components (two-way FE),no_simplereport,-0.12037684473304472,0.04896872674832424,**,0.017469895883644056,466,0.06516523103166849
